date,VOO
2020-01-03,-0.0073047446395495
2020-01-06,0.0037468302528167
2020-01-07,-0.0027579190335613
2020-01-08,0.0051599815169576
2020-01-09,0.006911225286402
2020-01-10,-0.0028657692017113
2020-01-13,0.0066168127073156
2020-01-14,-0.0013278664961151
2020-01-15,0.0022268099069424
2020-01-16,0.0083581370537948
2020-01-17,0.0033876469824574
2020-01-21,-0.0020653007668568
2020-01-22,0.0002630553928011
2020-01-23,0.0009850951681358
2020-01-24,-0.0091204098194807
2020-01-27,-0.0158925003489489
2020-01-28,0.0108334950388155
2020-01-29,-0.0009986304050088
2020-01-30,0.0031316176995603
2020-01-31,-0.0179346892327602
2020-02-03,0.0072713053700599
2020-02-04,0.0154107256123914
2020-02-05,0.0113088780068224
2020-02-06,0.0033997773532983
2020-02-07,-0.005083098519554
2020-02-10,0.0071726528253843
2020-02-11,0.0018209186081059
2020-02-12,0.0064267248475966
2020-02-13,-0.0009673541536751
2020-02-14,0.0016787033383098
2020-02-18,-0.0027394522589492
2020-02-19,0.004815352503626
2020-02-20,-0.0039238603205553
2020-02-21,-0.0103649641845209
2020-02-24,-0.0334429117927378
2020-02-25,-0.0300432445193692
2020-02-26,-0.004420051877654
2020-02-27,-0.0443247152502834
2020-02-28,-0.006035187619034
2020-03-02,0.0446378595247607
2020-03-03,-0.0275828458078289
2020-03-04,0.0414430631029796
2020-03-05,-0.0334977694327632
2020-03-06,-0.0167717700572396
2020-03-09,-0.0771623900284916
2020-03-10,0.0513209491484594
2020-03-11,-0.0495812360494395
2020-03-12,-0.0967176279978397
2020-03-13,0.0934295858337577
2020-03-16,-0.1173877993089526
2020-03-17,0.0654709226032248
2020-03-18,-0.0546634986629016
2020-03-19,0.0008631604094053
2020-03-20,-0.0435690411545495
2020-03-23,-0.0307013494042117
2020-03-24,0.095363745209356
2020-03-25,0.0128271795984458
2020-03-26,0.0601006515454767
2020-03-27,-0.0307194342975219
2020-03-30,0.032336846923566
2020-03-31,-0.0148507212179218
2020-04-01,-0.0450554110294607
2020-04-02,0.0233916308728929
2020-04-03,-0.0147770950548304
2020-04-06,0.0680204040830747
2020-04-07,0.0005339930620029
2020-04-08,0.0339405123048559
2020-04-09,0.0148455084511827
2020-04-13,-0.0097000726372635
2020-04-14,0.0305303532704075
2020-04-15,-0.0217689844237335
2020-04-16,0.0050540077695422
2020-04-17,0.0275991665431756
2020-04-20,-0.0180191063826062
2020-04-21,-0.0305570242168633
2020-04-22,0.0219963296039378
2020-04-23,-0.0001948290327979
2020-04-24,0.0145073232243715
2020-04-27,0.0144537146580692
2020-04-28,-0.0046229257156308
2020-04-29,0.0257727789290089
2020-04-30,-0.0087213133061588
2020-05-01,-0.0272557790381728
2020-05-04,0.0031560832165693
2020-05-05,0.0092080732463986
2020-05-06,-0.0067290279138449
2020-05-07,0.0118268942962045
2020-05-08,0.0167196947746202
2020-05-11,0.0001485879018101
2020-05-12,-0.0201247928069513
2020-05-13,-0.0177291085581532
2020-05-14,0.0120583856056344
2020-05-15,0.0045062977852894
2020-05-18,0.0305656332689638
2020-05-19,-0.0094437426170654
2020-05-20,0.0163119380961918
2020-05-21,-0.0071824037998394
2020-05-22,0.0022514026147588
2020-05-26,0.012852106097132
2020-05-27,0.0145799251602416
2020-05-28,-0.0019710812628602
2020-05-29,0.0044882009673903
2020-06-01,0.0043612404036517
2020-06-02,0.0082215896366393
2020-06-03,0.0132021716343686
2020-06-04,-0.0025430555223887
2020-06-05,0.0255684989963473
2020-06-08,0.0121249285442615
2020-06-09,-0.0071008131400315
2020-06-10,-0.0062356770927761
2020-06-11,-0.0576359003210265
2020-06-12,0.0120512031692072
2020-06-15,0.009118706379926
2020-06-16,0.0195605774374303
2020-06-17,-0.0045878830430885
2020-06-18,0.0009080070273066
2020-06-19,-0.005895991633106
2020-06-22,0.0066325716511561
2020-06-23,0.0045318225859407
2020-06-24,-0.0255756903079866
2020-06-25,0.0105769969249454
2020-06-26,-0.0234354021354644
2020-06-29,0.0145932952150813
2020-06-30,0.0133354231311362
2020-07-01,0.0068448909936411
2020-07-02,0.005045705654582
2020-07-06,0.0155160762730428
2020-07-07,-0.0103690267152209
2020-07-08,0.0074246543158218
2020-07-09,-0.0050969055802737
2020-07-10,0.0100384516991256
2020-07-13,-0.0090475285632687
2020-07-14,0.0133834166137536
2020-07-15,0.0088727766553622
2020-07-16,-0.0029090787988393
2020-07-17,0.0026458498195873
2020-07-20,0.0083238901826758
2020-07-21,0.0020803402654943
2020-07-22,0.0056927695444681
2020-07-23,-0.0119535842146637
2020-07-24,-0.0064703904954923
2020-07-27,0.0072926787552445
2020-07-28,-0.0061957876976687
2020-07-29,0.0120963515633822
2020-07-30,-0.0036491949021512
2020-07-31,0.0083665211298804
2020-08-03,0.0062978626812788
2020-08-04,0.0042055245104
2020-08-05,0.0062324573665542
2020-08-06,0.0067180386854299
2020-08-07,0.0005204697155269
2020-08-10,0.0031885047607349
2020-08-11,-0.0080752660229452
2020-08-12,0.0136992811545029
2020-08-13,-0.0017093166177266
2020-08-14,0.0
2020-08-17,0.0032311568330256
2020-08-18,0.0020928930438246
2020-08-19,-0.0042420363741471
2020-08-20,0.0031631977518171
2020-08-21,0.0035708923635295
2020-08-24,0.0101625149337414
2020-08-25,0.0034914614050272
2020-08-26,0.010214724220013
